county,precinct,office,district,party,candidate,vote
Box Elder,BC07,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",95
Box Elder,BC07,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",35
Box Elder,BC07,Republican for Attorney General,,REP,SEAN D. REYES,126
Box Elder,BC07,Republican for Attorney General,,REP,DAVID O. LEAVITT,132
Box Elder,BC07,Republican for Commissioner Seat C,,REP,KRIS UDY,67
Box Elder,BC07,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,46
Box Elder,BC07,Republican for Commissioner Seat C,,REP,STAN SUMMERS,111
Box Elder,BC07,Republican for Commissioner Seat C,,REP,ALDEN FARR,36
Box Elder,BC08,REGISTERED VOTERS TOTAL,,,VOTERS,232
Box Elder,BC08,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,197
Box Elder,BC08,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,35
Box Elder,BC08,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC08,BALLOTS CAST TOTAL,,,BALLOTS CAST,159
Box Elder,BC08,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,139
Box Elder,BC08,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,20
Box Elder,BC08,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC08,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC08,Democratic for U.S. House 1,1,DEM,DARREN PARRY,10
Box Elder,BC08,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,10
Box Elder,BC08,Republican for U.S. House 1,1,REP,KATIE WITT,14
Box Elder,BC08,Republican for U.S. House 1,1,REP,BOB STEVENSON,40
Box Elder,BC08,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,47
Box Elder,BC08,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,30
Box Elder,BC08,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",44
Box Elder,BC08,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",36
Box Elder,BC08,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",31
Box Elder,BC08,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",28
Box Elder,BC08,Republican for Attorney General,,REP,SEAN D. REYES,79
Box Elder,BC08,Republican for Attorney General,,REP,DAVID O. LEAVITT,58
Box Elder,BC08,Republican for Commissioner Seat C,,REP,KRIS UDY,42
Box Elder,BC08,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,24
Box Elder,BC08,Republican for Commissioner Seat C,,REP,STAN SUMMERS,55
Box Elder,BC08,Republican for Commissioner Seat C,,REP,ALDEN FARR,15
Box Elder,BC09,REGISTERED VOTERS TOTAL,,,VOTERS,246
Box Elder,BC09,REGISTERED VOTERS - REPUBLICAN,,REP,VOTERS,227
Box Elder,BC09,REGISTERED VOTERS - DEMOCRATIC,,DEM,VOTERS,19
Box Elder,BC09,REGISTERED VOTERS - NONPARTISAN,,NON,VOTERS,0
Box Elder,BC09,BALLOTS CAST TOTAL,,,BALLOTS CAST,158
Box Elder,BC09,BALLOTS CAST - REPUBLICAN,,REP,BALLOTS CAST,146
Box Elder,BC09,BALLOTS CAST - DEMOCRATIC,,DEM,BALLOTS CAST,12
Box Elder,BC09,BALLOTS CAST - NONPARTISAN,,NON,BALLOTS CAST,0
Box Elder,BC09,BALLOTS CAST BLANK,,,BALLOTS CAST,0
Box Elder,BC09,Democratic for U.S. House 1,1,DEM,DARREN PARRY,10
Box Elder,BC09,Democratic for U.S. House 1,1,DEM,JAMIE CHEEK,2
Box Elder,BC09,Republican for U.S. House 1,1,REP,KATIE WITT,19
Box Elder,BC09,Republican for U.S. House 1,1,REP,BOB STEVENSON,44
Box Elder,BC09,Republican for U.S. House 1,1,REP,BLAKE DAVID MOORE,49
Box Elder,BC09,Republican for U.S. House 1,1,REP,KERRY W. GIBSON,26
Box Elder,BC09,Republican for Governor and Lieutenant Governor,,REP,"THOMAS E. WRIGHT, ROB BISHOP",28
Box Elder,BC09,Republican for Governor and Lieutenant Governor,,REP,"SPENCER J. COX, DEIDRE M. HENDERSON",48
Box Elder,BC09,Republican for Governor and Lieutenant Governor,,REP,"JON HUNTSMAN JR., MICHELLE KAUFUSI",46
Box Elder,BC09,Republican for Governor and Lieutenant Governor,,REP,"GREG HUGHES, VICTOR IVERSON",24
Box Elder,BC09,Republican for Attorney General,,REP,SEAN D. REYES,92
Box Elder,BC09,Republican for Attorney General,,REP,DAVID O. LEAVITT,52
Box Elder,BC09,Republican for Commissioner Seat C,,REP,KRIS UDY,32
Box Elder,BC09,Republican for Commissioner Seat C,,REP,MITCH ZUNDEL,25
Box Elder,BC09,Republican for Commissioner Seat C,,REP,STAN SUMMERS,62
Box Elder,BC09,Republican for Commissioner Seat C,,REP,ALDEN FARR,22
